Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Précédent code ;Evolution 2021 vs. 2020;Nom du site de baignade;Date déclaration UE;Type d'eau;Longitude (ETRS 89);Latitude (ETRS 89);;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207330D007150;;pas de changement;L'ARDECHE AVAL PONT D'ARC;01/01/1991;rivière;4.41598000000;44.38245000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207330D007151;;pas de changement;L'ARDECHE AMONT PONT D'ARC;01/07/2015;rivière;4.41442000000;44.38183000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207334D007272;;pas de changement;LE CHASSEZAC AU MALPAS CORNILLON;01/01/2006;rivière;4.18324000000;44.40874000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207338D007915;;pas de changement;LE LAC AUX RAMIERS;01/01/1992;lac;4.65647000000;44.89209000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207348D007070;;pas de changement;L'ARDECHE A LA PLAGE DU VIEUX PONT;01/01/1991;rivière;4.41289000000;44.54947000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215011D015165;;pas de changement;LA GINESTE;01/01/1992;lac;2.21212000000;45.08454000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215027D015130;;pas de changement;LAC DE L'ESTANQUIOL;01/01/1991;lac;2.35503000000;44.72056000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215073D015170;;pas de changement;VALLON DE MALLET;01/01/2006;lac;3.11833000000;44.91185000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215088D015070;;pas de changement;PUECH DES OUILHES;01/01/1991;lac;2.24883000000;44.91354000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215092D015010;;pas de changement;VAL;01/01/1991;lac;2.50543000000;45.44378000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215092D015015;;pas de changement;LA SIAUVE;01/01/1991;lac;2.50098000000;45.42827000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215103D015290;;baignade supprimée;LE MAURS;01/01/1999;lac;2.56235000000;44.79462000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215124D015030;;pas de changement;LAC DE MENET;01/01/1991;lac;2.58461000000;45.30235000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215153D015050;;pas de changement;LONGAIROUX;01/01/1992;lac;2.22898000000;45.07939000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215189D015080;;pas de changement;ESPINET;01/01/1991;lac;2.22892000000;44.93304000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215189D015085;;pas de changement;RENAC;01/01/1991;lac;2.21815000000;44.93505000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215240D015020;;pas de changement;LASTIOULLES;01/01/1991;lac;2.66339000000;45.40066000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215243D015240;;pas de changement;LE CIVIER;01/01/1991;lac;2.53680000000;45.24716000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215260D015110;;pas de changement;LE PORT;01/01/1991;rivière;2.45537000000;44.64679000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215260D015111;;pas de changement;LE SOULOU (RIVIERE LE LOT);01/07/2010;rivière;2.40095000000;44.64595000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;15;FRK1215268D015250;;pas de changement;MOULIN DU TEIL;01/01/1994;lac;2.22548000000;44.84948000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326035D026370;;pas de changement;GERVANNE AMONT DE BEAUFORT;01/01/1991;rivière;5.15027000000;44.78472000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326037D026940;;pas de changement;ETANG DU PERE EUGENE;01/01/1991;lac;4.92849000000;44.86565000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326063D026715;;pas de changement;OUVEZE AMONT DE BUIS;01/01/2005;rivière;5.28190000000;44.29538000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326086D026960;;pas de changement;LAC BLEU;01/01/1991;lac;5.45123000000;44.68325000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326113D026217;;pas de changement;DROME AMONT DE DIE;01/01/1992;rivière;5.38271000000;44.74274000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326113D026219;;pas de changement;DROME CENTRE DIE;01/01/2005;rivière;5.36567000000;44.75015000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326113D026268;;pas de changement;DROME AVAL DIE;01/01/2005;rivière;5.35378000000;44.75850000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326167D026210;;pas de changement;DROME DE BEAUMONT A LUC EN DIOIS;01/01/1991;rivière;5.45948000000;44.59992000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326183D026255;;pas de changement;DROME DE PIEGROS A BLACONS;01/01/1991;rivière;5.08841000000;44.70857000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326192D026520;;pas de changement;LEZ  PONT AU JAS;01/01/1991;rivière;5.01170000000;44.44488000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326198D026970;;pas de changement;LAC DE MONTMEILLAN;01/01/1991;lac;4.69610000000;44.55493000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326215D026900;;pas de changement;LAC DU PAS DES ONDES;01/01/1997;lac;5.36731000000;44.46443000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326235D026920;;pas de changement;LAC DE PIGNEDORE;01/01/2004;lac;4.68296000000;44.36505000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326264D026605;;pas de changement;AYGUES AMONT DE REMUZAT;01/01/1991;rivière;5.36303000000;44.39396000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326289D026240;;pas de changement;DROME DE ESPENEL A SAILLANS;01/01/1991;rivière;5.21031000000;44.69009000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326289D026245;;pas de changement;DROME AVAL SAILLANS;01/01/1992;rivière;5.18293000000;44.69306000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326295D026990;;pas de changement;LAC LES VERNETS DE GALAURE;01/01/1995;lac;4.88415000000;45.17656000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326296D026347;;pas de changement;AVAL ST BENOIT A CONFLUENCE DROME;01/01/2005;rivière;5.26302000000;44.67929000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326299D026267;;pas de changement;DROME DE DIE A STE CROIX;01/01/2005;rivière;5.29293000000;44.76260000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326301D026910;;pas de changement;LAC DE CHAMPOS (HERBASSE);01/01/1991;lac;5.00720000000;45.13204000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326301D026915;;pas de changement;LAC DE CHAMPOS (SOURCES);01/01/1991;lac;5.00640000000;45.13394000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326344D026415;;pas de changement;ROUBION DE SAOU A SOYANS;01/01/1991;rivière;5.03508000000;44.62635000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;26;FRK2326368D026230;;pas de changement;DROME AMONT DE  VERCHENY;01/01/1991;rivière;5.26823000000;44.71672000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438006D038300;;pas de changement;ALLEVARD - LAC DE LA MIRANDE;01/01/1992;lac;6.08617000000;45.40798000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438082D038001;;pas de changement;CHARAVINES - LAC DE PALADRU;01/01/1992;lac;5.51729000000;45.43446000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438106D038031;;pas de changement;CHOLONGE - LAC DE LAFFREY;01/01/1992;lac;5.77850000000;45.00256000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438128D038111;;pas de changement;CORPS - LAC DU SAUTET - BASE NAUTIQUE;01/01/2001;lac;5.93302000000;44.81613000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438203D038030;;pas de changement;LAFFREY - LAC DE LAFFREY - PLAGE NORD;01/01/1992;lac;5.78169000000;45.02360000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438231D038400;;pas de changement;MEYRIEU LES ETANGS - BASE DE LOISIRS DU MOULIN;01/01/1992;lac;5.20414000000;45.50887000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438256D038005;;pas de changement;MONTFERRAT - LAC DE PALADRU;01/01/1992;lac;5.55611000000;45.46753000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438292D038002;;pas de changement;LE PIN - LAC DE PALADRU;01/01/1992;lac;5.52445000000;45.45284000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438292D038003;;pas de changement;PALADRU - LAC DE PALADRU;01/01/1992;lac;5.55141000000;45.47284000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438304D038004;;pas de changement;PIERRE-CHATEL - LAC DE PIERRE-CHATEL - PLAGE DES CORDELIERS;01/01/2000;lac;5.78015000000;44.96905000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438314D038240;;pas de changement;PONTCHARRA - PLAN D'EAU;01/01/1992;lac;6.00655000000;45.44424000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438343D038080;;pas de changement;ROMAGNIEU - LAC DE ROMAGNIEU;01/01/1992;lac;5.64029000000;45.58072000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438347D038090;;pas de changement;ROYBON - LAC DE ROYBON;01/01/1992;lac;5.24601000000;45.25116000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438449D038120;;pas de changement;SAINT QUENTIN FALLAVIER - ETANG DE FALLAVIER;01/01/1992;lac;5.12946000000;45.61914000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438453D038270;;pas de changement;SAINT ROMANS - LAC DU MARANDAN;01/01/1992;lac;5.29262000000;45.10170000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438462D038040;;pas de changement;SAINT THEOFFREY - LAC DE PETICHET;01/01/1992;lac;5.77592000000;44.99453000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438503D038060;;pas de changement;LA TERRASSE - LAC DE LA TERRASSE - PLAGE;01/01/1992;lac;5.94450000000;45.31738000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438518D038160;;pas de changement;VALBONNAIS - LAC DE VALBONNAIS;01/01/1992;lac;5.90064000000;44.89251000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438532D038170;;pas de changement;VENERIEU - LAC DE VENERIEU;01/01/1992;lac;5.28300000000;45.64915000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;38;FRK2438538D038180;;pas de changement;LE VERSOUD/SAINT ISMIER - LE BOIS FRANCAIS;01/01/1992;lac;5.84273000000;45.22715000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;42;FRK2542159D042020;;pas de changement;PLAN D'EAU DE NOIRETABLE;01/01/1991;lac;3.76772000000;45.80774000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;42;FRK2542204D042030;;pas de changement;PLAN D'EAU VILLENEUVE;01/01/1991;lac;4.07565000000;45.41890000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;42;FRK2542268D042045;;pas de changement;RET.VILLEREST - ARPHEUILLES;01/01/1991;lac;4.06214000000;45.91215000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;42;FRK2542270D042050;;pas de changement;RET.GRANGENT - VIGIE MOUETTE;01/01/1991;lac;4.24275000000;45.40428000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;42;FRK2542287D042065;;baignade nouvellement identifiée;PLAN D'EAU - LA DEOME;10/07/2021;lac;4.48800000000;45.26400000000;;;;;;;;;
