Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date de prélèvement;"Résultat ""entérocoques intestinaux""";"Résultat ""Escherichia coli""";Statut du prélèvement;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207071D007910;01/08/2022;127;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207071D007910;16/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207079D007605;14/06/2022;15;30;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207079D007605;05/07/2022;110;287;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207079D007605;19/07/2022;15;30;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207079D007605;02/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207079D007605;16/08/2022;30;161;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207080D007405;14/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207080D007405;05/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207080D007405;19/07/2022;15;30;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207080D007405;02/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207080D007405;16/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207082D007505;15/06/2022;15;144;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207082D007505;06/07/2022;30;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207082D007505;18/07/2022;109;30;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207082D007505;02/08/2022;30;61;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207082D007505;19/08/2022;94;215;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207096D007540;15/06/2022;94;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207096D007540;11/07/2022;330;94;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207096D007540;25/07/2022;143;46;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207096D007540;09/08/2022;30;565;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207096D007540;22/08/2022;46;46;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207107D007030;14/06/2022;127;30;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207107D007030;05/07/2022;61;353;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207107D007030;19/07/2022;94;1327;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207107D007030;01/08/2022;15;61;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207107D007030;26/08/2022;77;907;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207110D007220;15/06/2022;46;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207110D007220;11/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207110D007220;26/07/2022;30;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207110D007220;08/08/2022;46;94;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207110D007220;23/08/2022;15;46;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207114D007602;14/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207114D007602;05/07/2022;212;353;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207114D007602;19/07/2022;46;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207114D007602;02/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207114D007602;16/08/2022;15;61;;;;
