Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Précédent code;Nom du site de baignade;Date déclaration UE;Type d'eau;Longitude (ETRS 89);Latitude (ETRS 89)
2020;Auvergne-Rhône-Alpes;26;FRK2326289D026245;;DROME AVAL SAILLANS;01/01/1992;rivière;5.18293;44.69306
2020;Auvergne-Rhône-Alpes;26;FRK2326295D026990;;LAC LES VERNETS DE GALAURE;01/01/1995;lac;4.88415;45.17656
2020;Auvergne-Rhône-Alpes;26;FRK2326296D026347;;AVAL ST BENOIT A CONFLUENCE DROME;01/01/2005;rivière;5.26302;44.67929
2020;Auvergne-Rhône-Alpes;26;FRK2326299D026267;;DROME DE DIE A STE CROIX;01/01/2005;rivière;5.29293;44.7626
2020;Auvergne-Rhône-Alpes;26;FRK2326301D026910;;LAC DE CHAMPOS (HERBASSE);01/01/1991;lac;5.0072;45.13204
2020;Auvergne-Rhône-Alpes;26;FRK2326301D026915;;LAC DE CHAMPOS (SOURCES);01/01/1991;lac;5.0064;45.13394
2020;Auvergne-Rhône-Alpes;26;FRK2326344D026415;;ROUBION DE SAOU A SOYANS;01/01/1991;rivière;5.03508;44.62635
2020;Auvergne-Rhône-Alpes;26;FRK2326368D026230;;DROME AMONT DE  VERCHENY;01/01/1991;rivière;5.26823;44.71672
2020;Auvergne-Rhône-Alpes;38;FRK2438006D038300;;ALLEVARD - LAC DE LA MIRANDE;01/01/1992;lac;6.08617;45.40798
2020;Auvergne-Rhône-Alpes;38;FRK2438082D038001;;CHARAVINES - LAC DE PALADRU;01/01/1992;lac;5.51729;45.43446
2020;Auvergne-Rhône-Alpes;38;FRK2438106D038031;;CHOLONGE - LAC DE LAFFREY;01/01/1992;lac;5.7785;45.00256
2020;Auvergne-Rhône-Alpes;38;FRK2438128D038111;;CORPS - LAC DU SAUTET - BASE NAUTIQUE;01/01/2001;lac;5.93302;44.81613
2020;Auvergne-Rhône-Alpes;38;FRK2438203D038030;;LAFFREY - LAC DE LAFFREY - PLAGE NORD;01/01/1992;lac;5.78169;45.0236
2020;Auvergne-Rhône-Alpes;38;FRK2438231D038400;;MEYRIEU LES ETANGS - BASE DE LOISIRS DU MOULIN;01/01/1992;lac;5.20414;45.50887
2020;Auvergne-Rhône-Alpes;38;FRK2438256D038005;;MONTFERRAT - LAC DE PALADRU;01/01/1992;lac;5.55611;45.46753
2020;Auvergne-Rhône-Alpes;38;FRK2438292D038002;;LE PIN - LAC DE PALADRU;01/01/1992;lac;5.52445;45.45284
2020;Auvergne-Rhône-Alpes;38;FRK2438292D038003;;PALADRU - LAC DE PALADRU;01/01/1992;lac;5.55141;45.47284
2020;Auvergne-Rhône-Alpes;38;FRK2438304D038004;;PIERRE-CHATEL - LAC DE PIERRE-CHATEL - PLAGE DES CORDELIERS;01/01/2000;lac;5.78015;44.96905
2020;Auvergne-Rhône-Alpes;38;FRK2438314D038240;;PONTCHARRA - PLAN D'EAU;01/01/1992;lac;6.00655;45.44424
2020;Auvergne-Rhône-Alpes;38;FRK2438343D038080;;ROMAGNIEU - LAC DE ROMAGNIEU;01/01/1992;lac;5.64029;45.58072
2020;Auvergne-Rhône-Alpes;38;FRK2438347D038090;;ROYBON - LAC DE ROYBON;01/01/1992;lac;5.24601;45.25116
2020;Auvergne-Rhône-Alpes;38;FRK2438449D038120;;SAINT QUENTIN FALLAVIER - ETANG DE FALLAVIER;01/01/1992;lac;5.12946;45.61914
2020;Auvergne-Rhône-Alpes;38;FRK2438453D038270;;SAINT ROMANS - LAC DU MARANDAN;01/01/1992;lac;5.29262;45.1017
2020;Auvergne-Rhône-Alpes;38;FRK2438462D038040;;SAINT THEOFFREY - LAC DE PETICHET;01/01/1992;lac;5.77592;44.99453
2020;Auvergne-Rhône-Alpes;38;FRK2438503D038060;;LA TERRASSE - LAC DE LA TERRASSE - PLAGE;01/01/1992;lac;5.9445;45.31738
2020;Auvergne-Rhône-Alpes;38;FRK2438518D038160;;VALBONNAIS - LAC DE VALBONNAIS;01/01/1992;lac;5.90064;44.89251
